Food name,Amount,Fiber,Iron,Magnesium,Potassium,Zinc,Vitamin C,Folate,Vitamin B-12,Vitamin A,Vitamin D,Cholesterol
Banana,"1 medium (7-8"" long) ",10.1,2.1,8.9,9.0,1.9,12.5,6.0,0,0.5,0.0,0
Potato,"1 medium (2-1/4"" to 3-1/4"" dia) = 173.0g",11.7,7.7,13.1,20.0,6.4,26.4,16.5,0,0.3,0.0,0
Butter,1 tbsp (14.2 g),0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,12.1,0.0,31
Avocado,1 whole fruit (136 g),29.9,5.7,10.8,14.7,9.7,14.5,30.3,0,1.3,0.0,0
Beef liver,1 slice (81 g),0.0,34.5,5.0,6.0,44.6,0.7,52.8,2806,784.1,6.7,309
Cod liver,50 g,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0,0.0,333.3,117
Egg,1 large (50 g),0.0,4.1,1.4,1.3,5.6,0.0,5.5,23,9.3,7.3,186
Herring,3 oz (85 g),0.0,7.0,1.6,1.2,4.8,0.0,0.0,151,27.6,30.6,0
Tuna,3 oz (85 g),0.0,5.4,10.0,9.5,4.0,0.0,0.5,83,2.4,11.7,40
Broccoli,1 cup (156 g),16.9,7.2,8.9,9.7,7.4,122.7,42.0,0,15.0,0.0,0
Green peas,1 cup (160 g),28.6,17.0,17.2,9.2,20.0,27.5,25.3,0,8.0,0.0,
Sweet red pepper,"0.5 medium (approx 2-3/4"" long, 2-1/2 dia.) (59.5 g)",3.9,1.8,1.9,2.7,1.6,92.1,6.8,0,11.6,0.0,
Oysters,6 medium (84 g),0.0,26.7,4.2,2.8,347.5,0.0,1.5,306,1.4,68.0,34
Spinach,1/4 cup (45 g),3.5,11.1,10.9,4.5,3.6,5.3,16.4,0,29.5,0.0,
Quinoa,1 cup (185 g),16.9,19.0,32.8,6.8,21.3,0.0,19.5,0,0.0,0.0,
Dark chocolate,1 oz (28.35 g),10.1,23.2,18.1,4.3,9.9,0.0,0.0,3,0.1,0.0,1
Strawberries,1 cup halves (152 g),9.7,4.3,5.6,5.0,2.2,108.4,9.0,0,0.3,0.0,0
Navy beans,1 cup (182 g),62.0,29.7,26.7,15.1,19.7,1.9,63.8,0,0.0,0.0,
